inspec_ym,inspec_loc,pH,water02,SS,water04,water05,DO,TP,대장균총,분원성대장균,수온,EC,water12,water13,water14,water15,water16,water17,water18,water19,TN,water21,water22,water23,water24,water25,water26,water27,area_CODE,area_NAME,river_CODE,river_NAME,loc_NAME,loc_ADDR,year,month,river_name,track,ecoli_label_raw,label_A,label_B
202107,206,7.4,3.0,3.1,2.9,1.6,6.6,0.285,123600.0,34500.0,21.9,339.0,0.0,,,,,,,1.761,2.631,4.675,4.739,0.271,0.275,,0.1,,2,중부산,3,동천,동천1,광무교,2021,7,동천,B,34500.0,1,0
202107,207,7.0,7.8,5.3,3.5,6.2,9.3,0.312,922200.0,195600.0,22.7,15819.0,0.0,,,,,,,1.946,1.306,3.911,4.214,0.203,0.222,,0.3,,2,중부산,3,동천,동천2,범4호교,2021,7,동천,B,195600.0,1,0
202107,208,7.2,12.2,7.4,4.6,14.0,2.1,0.382,5475000.0,891000.0,24.0,8846.0,0.0,,,,,,,2.849,1.412,4.765,5.058,0.261,0.29,,0.4,,2,중부산,3,동천,동천3,범일교,2021,7,동천,B,891000.0,1,1
202107,215,7.5,2.4,5.5,3.7,8.3,7.4,0.143,97680.0,24524.0,27.4,165.0,0.0,,,,,,,0.397,1.797,2.453,2.684,0.119,0.137,,3.5,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,2021,7,온천천,A,24524.0,1,0
202107,216,7.1,2.2,5.3,3.2,5.7,5.0,0.151,42860.0,13764.0,27.7,234.0,0.0,,,,,,,0.41,1.886,2.565,2.777,0.107,0.121,,1.8,,1,수영강,29,온천천,온천천2(연안교),연안교,2021,7,온천천,A,13764.0,1,0
202107,312,7.4,6.0,5.7,3.3,4.6,4.9,0.481,,,24.6,5394.0,0.0,,,,,,,1.755,1.783,3.991,4.187,0.206,0.206,,0.1,,2,중부산,3,동천,동천2-1,범3호교(성서교),2021,7,동천,B,,0,0
202107,327,7.3,0.5,3.9,2.8,8.5,7.8,0.133,,,24.5,97.0,0.0,,,,,,,0.104,1.28,1.447,1.66,0.045,0.07,,3.0,,1,수영강,29,온천천,온천천(청룡),청룡2호교,2021,7,온천천,A,,0,0
202107,328,7.4,1.5,4.9,4.0,3.3,7.3,0.121,,,26.9,188.0,0.0,,,,,,,0.087,1.991,2.294,2.436,0.09,0.111,,2.6,,1,수영강,29,온천천,온천천(온천),온천교,2021,7,온천천,A,,0,0
202107,329,7.3,1.8,4.7,2.9,4.1,5.6,0.145,,,27.4,208.0,0.0,,,,,,,0.232,1.893,2.542,2.576,0.102,0.122,,1.4,,1,수영강,29,온천천,온천천(세병),세병교,2021,7,온천천,A,,0,0
202108,206,7.4,7.4,4.4,4.8,7.5,1.5,0.56,350000.0,320000.0,26.4,27511.0,0.0,,,,,,,3.373,0.025,4.178,4.527,0.446,0.471,,3.5,,2,중부산,3,동천,동천1,광무교,2021,8,동천,B,320000.0,1,1
202108,207,7.3,9.1,3.2,4.1,6.2,1.4,0.414,520000.0,170000.0,27.2,31639.0,0.0,,,,,,,1.734,0.035,2.593,2.947,0.28,0.336,,3.3,,2,중부산,3,동천,동천2,범4호교,2021,8,동천,B,170000.0,1,1
